thickness, eps_V, eps_V, eps_V, eps_V, eps_V
nm, V, V, V, V, V
, 20% Noise, 10% Noise, 5% Noise, 2% Noise, 1% Noise
 10.000000,   1.606822,   0.803411,   0.401705,   0.160682,   0.080341
 20.000000,   0.844603,   0.422301,   0.211151,   0.084460,   0.042230
 30.000000,   0.591937,   0.295969,   0.147984,   0.059194,   0.029597
 40.000000,   0.466715,   0.233358,   0.116679,   0.046672,   0.023336
 50.000000,   0.392515,   0.196258,   0.098129,   0.039252,   0.019626
 60.000000,   0.343867,   0.171933,   0.085967,   0.034387,   0.017193
 70.000000,   0.309855,   0.154927,   0.077464,   0.030985,   0.015493
 80.000000,   0.285024,   0.142512,   0.071256,   0.028502,   0.014251
 90.000000,   0.266344,   0.133172,   0.066586,   0.026634,   0.013317
100.000000,   0.252000,   0.126000,   0.063000,   0.025200,   0.012600
110.000000,   0.240836,   0.120418,   0.060209,   0.024084,   0.012042
120.000000,   0.232086,   0.116043,   0.058021,   0.023209,   0.011604
130.000000,   0.225217,   0.112608,   0.056304,   0.022522,   0.011261
140.000000,   0.219852,   0.109926,   0.054963,   0.021985,   0.010993
150.000000,   0.215716,   0.107858,   0.053929,   0.021572,   0.010786
160.000000,   0.212603,   0.106301,   0.053151,   0.021260,   0.010630
170.000000,   0.210356,   0.105178,   0.052589,   0.021036,   0.010518
180.000000,   0.208855,   0.104428,   0.052214,   0.020886,   0.010443
190.000000,   0.208008,   0.104004,   0.052002,   0.020801,   0.010400
200.000000,   0.207739,   0.103869,   0.051935,   0.020774,   0.010387
210.000000,   0.207990,   0.103995,   0.051998,   0.020799,   0.010400
220.000000,   0.208715,   0.104358,   0.052179,   0.020872,   0.010436
230.000000,   0.209876,   0.104938,   0.052469,   0.020988,   0.010494
240.000000,   0.211444,   0.105722,   0.052861,   0.021144,   0.010572
250.000000,   0.213393,   0.106697,   0.053348,   0.021339,   0.010670
260.000000,   0.215706,   0.107853,   0.053927,   0.021571,   0.010785
270.000000,   0.218367,   0.109183,   0.054592,   0.021837,   0.010918
280.000000,   0.221364,   0.110682,   0.055341,   0.022136,   0.011068
290.000000,   0.224689,   0.112345,   0.056172,   0.022469,   0.011234
300.000000,   0.228335,   0.114168,   0.057084,   0.022834,   0.011417
310.000000,   0.232299,   0.116150,   0.058075,   0.023230,   0.011615
320.000000,   0.236578,   0.118289,   0.059144,   0.023658,   0.011829
330.000000,   0.241171,   0.120585,   0.060293,   0.024117,   0.012059
340.000000,   0.246079,   0.123040,   0.061520,   0.024608,   0.012304
350.000000,   0.251304,   0.125652,   0.062826,   0.025130,   0.012565
360.000000,   0.256851,   0.128425,   0.064213,   0.025685,   0.012843
370.000000,   0.262722,   0.131361,   0.065680,   0.026272,   0.013136
380.000000,   0.268924,   0.134462,   0.067231,   0.026892,   0.013446
390.000000,   0.275463,   0.137731,   0.068866,   0.027546,   0.013773
400.000000,   0.282346,   0.141173,   0.070587,   0.028235,   0.014117
