Cs, theta_s, theta_c, theta_s, delta, theta_s
mm, , rad, , nm, 
  0.200000,   0.943616,   0.000001,   0.926614,   2.000000,   0.929917
  0.400000,   0.940241,   0.000002,   0.930957,   4.000000,   0.928397
  0.600000,   0.941973,   0.000005,   0.918025,   6.000000,   0.937781
  0.800000,   0.936523,   0.000010,   0.942295,   8.000000,   0.946949
  1.000000,   0.939620,   0.000020,   0.949441,  10.000000,   0.941192
  1.200000,   0.937620,   0.000050,   0.948719,  12.000000,   0.941199
  1.400000,   0.941299,   0.000100,   0.939738,  14.000000,   0.943576
  1.600000,   0.939073,   0.000200,   0.926472,  16.000000,   0.947072
  1.800000,   0.941607,   0.000500,   0.890056,  18.000000,   0.943394
  2.000000,   0.941513,   0.000000,   0.000000,  20.000000,   0.941936
