Noise, eps_V, Noise, eps_V
, V, , V
, Rec, , Linear Fit
  0.020000,   0.023508,   0.000000,  -0.019247
  0.050000,   0.055687,   0.010000,  -0.003965
  0.100000,   0.113831,   0.020000,   0.011316
  0.200000,   0.295398,   0.030000,   0.026597
  0.000000,   0.000000,   0.040000,   0.041879
  0.000000,   0.000000,   0.050000,   0.057160
  0.000000,   0.000000,   0.060000,   0.072441
  0.000000,   0.000000,   0.070000,   0.087723
  0.000000,   0.000000,   0.080000,   0.103004
  0.000000,   0.000000,   0.090000,   0.118286
  0.000000,   0.000000,   0.100000,   0.133567
  0.000000,   0.000000,   0.110000,   0.148848
  0.000000,   0.000000,   0.120000,   0.164130
  0.000000,   0.000000,   0.130000,   0.179411
  0.000000,   0.000000,   0.140000,   0.194692
  0.000000,   0.000000,   0.150000,   0.209974
  0.000000,   0.000000,   0.160000,   0.225255
  0.000000,   0.000000,   0.170000,   0.240537
  0.000000,   0.000000,   0.180000,   0.255818
  0.000000,   0.000000,   0.190000,   0.271099
  0.000000,   0.000000,   0.200000,   0.286381
  0.000000,   0.000000,   0.210000,   0.301662
